ID,YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,AIRPORTS
6579,2023,1,ALBANIA,LA,18549.8028,1440,18
6580,2023,1,ARMENIA,UD,35784.9009,1702,16
6581,2023,1,AUSTRIA,LO,178317.139,11344,150
6582,2023,1,BELGIUM,EB,365957.0597,10418,174
6583,2023,1,BOSNIA AND HERZEGOVINA,LQ,8055.46755,738,19
6584,2023,1,BULGARIA,LB,46024.0706,2786,154
6585,2023,1,CANARY ISLANDS,GC,326658.7049,17508,8
6586,2023,1,CROATIA,LD,16213.8168,2332,61
6587,2023,1,CYPRUS,LC,42803.2304,2153,90
6588,2023,1,CZECHIA,LK,50116.77385,3853,298
6589,2023,1,DENMARK*,EK,169737.8838,11292,135
6590,2023,1,ESTONIA,EE,13158.3361,1434,42
6591,2023,1,FINLAND,EF,175716.2576,8143,120
6592,2023,1,FRANCE,LF,1449363.834,60159,992
6593,2023,1,GEORGIA,UG,35147.55825,1587,33
6594,2023,1,GERMANY,ED,1860023.81,61208,1018
6595,2023,1,GREECE,LG,120855.3085,11994,132
6596,2023,1,HUNGARY,LH,67707.13595,3980,131
6597,2023,1,ICELAND,BI,22129.6819,1427,88
6598,2023,1,IRELAND,EI,204406.9766,10300,113
6599,2023,1,ITALY,LI,817073.8634,51635,849
6600,2023,1,KOSOVO,BK,12827.5434,879,10
6601,2023,1,LATVIA,EV,27596.58265,2176,80
6602,2023,1,LITHUANIA,EY,25875.06135,1952,69
6603,2023,1,LUXEMBOURG,EL,126943.3186,2421,80
6604,2023,1,MALTA,LM,27630.665,1736,8
6605,2023,1,"MOLDOVA, REPUBLIC OF",LU,15571.99265,941,13
6606,2023,1,MONACO,LN,10.77615,18,3
6607,2023,1,MONTENEGRO,LY,4180.2642,568,7
6608,2023,1,NETHERLANDS,EH,717292.7589,20636,124
6609,2023,1,NORTH MACEDONIA,LW,8588.4372,691,16
6610,2023,1,NORWAY*,EN,179583.0357,25126,252
6611,2023,1,POLAND,EP,231788.9163,14698,335
6612,2023,1,PORTUGAL*,LP,358992.4556,16557,223
6613,2023,1,ROMANIA,LR,103442.0069,7429,101
6614,2023,1,SERBIA,LY,33637.42575,2870,47
6615,2023,1,SLOVAKIA,LZ,6890.6232,753,116
6616,2023,1,SLOVENIA,LJ,5150.3151,754,43
6617,2023,1,SPAIN,LE,1064090.137,52335,506
6618,2023,1,SWEDEN,ES,168678.7983,15080,251
6619,2023,1,SWITZERLAND,LS,384993.6357,17592,90
6620,2023,1,TÜRKIYE,LT,1194181.477,46590,310
6621,2023,1,UNITED KINGDOM*,EG,2307234.722,74762,1370
