,Unnamed: 0,ICAO,Year,Departures,Arrivals,Longitude,Latitude,Name
0,0,EBAW,2020,4068,,4.46028,51.1894,Antwerp International Airport (Deurne)
1,1,EBBR,2020,45674,,4.48444,50.901402,Brussels Airport
2,2,EBCI,2020,12402,,4.45382,50.459202,Brussels South Charleroi Airport
3,3,EBLG,2020,18343,,5.44322,50.637402,Liège Airport
4,4,EBOS,2020,2639,,2.874673,51.1998,Ostend-Bruges International Airport
5,5,EDDB,2020,21718,,13.500672,52.362247,Berlin Brandenburg Airport
6,6,EDDC,2020,4241,,13.767831,51.134123,Dresden Airport
7,7,EDDF,2020,106185,,8.561268,50.036521,Frankfurt Airport
8,8,EDDG,2020,5449,,7.68483,52.134602,Münster Osnabrück Airport
9,9,EDDH,2020,29990,,9.98823,53.630402,Hamburg Helmut Schmidt Airport
10,10,EDDK,2020,39372,,7.14274,50.865898,Cologne Bonn Airport
11,11,EDDL,2020,39379,,6.76678,51.289501,Düsseldorf Airport
12,12,EDDM,2020,72102,,11.7861,48.353802,Munich Airport
13,13,EDDN,2020,10083,,11.078056,49.498699,Nuremberg Airport
14,14,EDDP,2020,30881,,12.236389,51.423889,Leipzig/Halle Airport
15,15,EDDR,2020,2078,,7.109509945,49.21459961,Saarbrücken Airport
16,16,EDDS,2020,24909,,9.221960068,48.68989944,Stuttgart Airport
17,17,EDDT,2020,29865,,,,
18,18,EDDV,2020,13574,,9.68508,52.461102,Hannover Airport
19,19,EDDW,2020,7300,,8.78667,53.047501,Bremen Airport
20,20,EETN,2020,9601,,24.83279991,59.41329956,Lennart Meri Tallinn Airport
21,21,EETU,2020,456,,26.690399,58.307499,Tartu Airport
22,22,EFHK,2020,36403,,24.963301,60.3172,Helsinki Vantaa Airport
23,23,EGAA,2020,11454,,-6.215829849,54.65750122,Belfast International Airport
24,24,EGAC,2020,5176,,-5.8725,54.618099,George Best Belfast City Airport
25,25,EGAE,2020,923,,-7.161109924,55.0428009,City of Derry Airport
26,26,EGBB,2020,17428,,-1.748029947,52.45389938,Birmingham International Airport
27,27,EGCC,2020,33271,,-2.279521,53.349375,Manchester Airport
28,28,EGGD,2020,12219,,-2.71909,51.382702,Bristol Airport
29,29,EGGW,2020,31680,,-0.368333012,51.87469864,London Luton Airport
30,30,EGHI,2020,5400,,-1.3568,50.950298,Southampton Airport
31,31,EGKB,2020,7499,,0.032499999,51.3307991,London Biggin Hill Airport
32,32,EGKK,2020,40158,,-0.190278,51.148102,London Gatwick Airport
33,33,EGLC,2020,9788,,0.055278,51.505299,London City Airport
34,34,EGLF,2020,9670,,-0.776332974,51.2757988,Farnborough Airport
35,35,EGLL,2020,102400,,-0.461941,51.4706,London Heathrow Airport
36,36,EGNT,2020,7092,,-1.69167,55.037498,Newcastle Airport
37,37,EGNX,2020,21800,,-1.32806,52.8311,East Midlands Airport
38,38,EGPD,2020,12236,,-2.19778,57.2019,Aberdeen Dyce Airport
39,39,EGPF,2020,14922,,-4.43306,55.871899,Glasgow International Airport
40,40,EGPH,2020,22911,,-3.372288,55.950145,Edinburgh Airport
41,41,EGSS,2020,42686,,0.234999999,51.88499832,London Stansted Airport
42,42,EHAM,2020,117872,,4.76389,52.308601,Amsterdam Airport Schiphol
43,43,EHBK,2020,3981,,5.77014,50.911701,Maastricht Aachen Airport
44,44,EHGG,2020,4057,,6.579440117,53.11970139,Eelde Airport
45,45,EHRD,2020,6005,,4.43722,51.956902,Rotterdam The Hague Airport
46,46,EICK,2020,5826,,-8.49111,51.841301,Cork Airport
47,47,EIDL,2020,763,,-8.340999603,55.0442009,Donegal Airport
48,48,EIDW,2020,43464,,-6.262121,53.428713,Dublin Airport
